voice_location,label
data/wav/fake_voice/file_11__9332.wav,0
data/wav/real_voice/file_12_10034.wav,1
data/wav/fake_voice/file_12_13892.wav,0
data/wav/fake_voice/file_11__12554.wav,0
data/wav/fake_voice/file_11__28936.wav,0
data/wav/fake_voice/file_11__22085.wav,0
data/wav/real_voice/file_11_22530.wav,1
data/wav/fake_voice/file_11__30304.wav,0
data/wav/real_voice/file_11_6893.wav,1
data/wav/fake_voice/file_12_9137.wav,0
data/wav/fake_voice/file_11__28794.wav,0
data/wav/fake_voice/file_12_8459.wav,0
data/wav/real_voice/speaker3_6.wav,1
data/wav/fake_voice/file_11__16581.wav,0
data/wav/fake_voice/file_11__21472.wav,0
data/wav/fake_voice/file_12_13047.wav,0
data/wav/fake_voice/file_12_1953.wav,0
data/wav/fake_voice/file_11__12993.wav,0
data/wav/fake_voice/file_12_15821.wav,0
data/wav/fake_voice/file_11__6535.wav,0
data/wav/real_voice/file_12_9156.wav,1
data/wav/fake_voice/file_12_26970.wav,0
data/wav/fake_voice/file_11__29705.wav,0
data/wav/real_voice/file_11_5854.wav,1
data/wav/fake_voice/file_11__19379.wav,0
data/wav/real_voice/file_11_8814.wav,1
data/wav/real_voice/file_11_810.wav,1
data/wav/real_voice/file_11_27481.wav,1
data/wav/real_voice/file_11_9622.wav,1
data/wav/real_voice/file_11_34593.wav,1
data/wav/fake_voice/file_11__11274.wav,0
data/wav/real_voice/file_11_6650.wav,1
data/wav/real_voice/file_12_15998.wav,1
data/wav/real_voice/file_11_24477.wav,1
data/wav/real_voice/file_11_23893.wav,1
data/wav/real_voice/file_11_3570.wav,1
data/wav/fake_voice/file_12_19672.wav,0
data/wav/real_voice/file_11_16726.wav,1
data/wav/fake_voice/file_11__16703.wav,0
data/wav/real_voice/speaker5_6.wav,1
data/wav/real_voice/file_11_7248.wav,1
data/wav/real_voice/file_11_11247.wav,1
data/wav/real_voice/file_11_4671.wav,1
data/wav/fake_voice/file_11__29809.wav,0
data/wav/fake_voice/fake1_1.wav,0
data/wav/fake_voice/file_11__33805.wav,0
data/wav/real_voice/file_11_29754.wav,1
data/wav/fake_voice/fake3_7.wav,0
data/wav/fake_voice/file_11__5621.wav,0
data/wav/real_voice/file_12_19537.wav,1
data/wav/fake_voice/file_11__31285.wav,0
data/wav/fake_voice/file_11__11733.wav,0
data/wav/fake_voice/file_12_10832.wav,0
data/wav/fake_voice/file_12_7757.wav,0
data/wav/real_voice/file_12_23782.wav,1
data/wav/fake_voice/file_11__6161.wav,0
data/wav/real_voice/file_12_7199.wav,1
data/wav/fake_voice/file_12_8410.wav,0
data/wav/real_voice/file_11_17369.wav,1
data/wav/fake_voice/file_12_33309.wav,0
data/wav/real_voice/file_12_25223.wav,1
data/wav/real_voice/file_11_1597.wav,1
data/wav/real_voice/file_12_16020.wav,1
data/wav/real_voice/file_11_11026.wav,1
data/wav/real_voice/file_12_34132.wav,1
data/wav/fake_voice/file_11__13628.wav,0
data/wav/real_voice/file_12_629.wav,1
data/wav/real_voice/file_12_23265.wav,1
data/wav/fake_voice/file_11__31321.wav,0
data/wav/real_voice/file_11_16947.wav,1
data/wav/fake_voice/file_12_16188.wav,0
data/wav/real_voice/file_11_19209.wav,1
data/wav/real_voice/file_11_321.wav,1
data/wav/real_voice/file_11_18913.wav,1
data/wav/real_voice/file_11_22407.wav,1
data/wav/fake_voice/file_11__31270.wav,0
data/wav/real_voice/file_12_25304.wav,1
data/wav/real_voice/file_11_10305.wav,1
data/wav/fake_voice/file_11__31093.wav,0
data/wav/real_voice/file_11_3093.wav,1
data/wav/real_voice/file_11_28140.wav,1
data/wav/fake_voice/file_12_17188.wav,0
data/wav/fake_voice/file_11__27894.wav,0
data/wav/real_voice/file_11_8245.wav,1
data/wav/real_voice/file_12_5319.wav,1
data/wav/real_voice/file_11_15236.wav,1
data/wav/real_voice/file_11_606.wav,1
data/wav/real_voice/file_11_8491.wav,1
data/wav/fake_voice/file_11__9838.wav,0
data/wav/fake_voice/file_11__10564.wav,0
data/wav/fake_voice/file_12_8037.wav,0
data/wav/fake_voice/file_11__21678.wav,0
data/wav/fake_voice/file_11__7044.wav,0
data/wav/real_voice/file_11_5577.wav,1
data/wav/fake_voice/file_11__31600.wav,0
data/wav/real_voice/speaker4_7.wav,1
data/wav/fake_voice/file_11__15683.wav,0
data/wav/fake_voice/file_12_11428.wav,0
data/wav/real_voice/file_11_20415.wav,1
data/wav/real_voice/file_12_34150.wav,1
data/wav/real_voice/file_11_27413.wav,1
data/wav/real_voice/file_11_9135.wav,1
data/wav/fake_voice/file_11__30211.wav,0
